text,author,likes,replyCount,cleaned_text
What song has the quote from 1:47,@charlieball231,0,0,what song has the quote from 
Superbad teenagers and now we got Superbad kids. 😂 Good boys anyone?,@LonePhilosophers,1,2,superbad teenagers and now we got superbad kids face_with_tears_of_joy good boys anyone
Fogel is a goat he drank with cops vandalized a cops car. Made mclovin with a girl honestly he had the most amazing night,@KingAbyssTTV,9,1,fogel is a goat he drank with cops vandalized a cops car made mclovin with a girl honestly he had the most amazing night
This is a superb ad(vertisement),@jailynnmontanez2034,39,3,this is a superb advertisement
I wish there was a sequel.,@Marsalien100,14,2,i wish there was a sequel
Always the best thing to watch while bored,@thathighguy8624,369,1,always the best thing to watch while bored
Always a number film to watch,@thathighguy8624,4,0,always a number film to watch
Came here after watching Good boys,@buckbanana1291,1761,32,came here after watching good boys
This trailer just showed the whole movie,@nickdenisco,102,6,this trailer just showed the whole movie
African jew wearing a huddy hahaha,@biceali7212,92,0,african jew wearing a huddy hahaha
2019. this was my first rated R movie when I was 17,@sklingen21,210,17, this was my first rated r movie when i was 
A eso se le llama estrategia xd,@moiconet,5,0,a eso se le llama estrategia xd
1:36 in 0.25  thank me later,@tyrionlannister7722,56,4, in   thank me later
whats that song at the end of the trailer called??,@fanso76,0,3,whats that song at the end of the trailer called
1:08 is this ben shapiro?,@drbrochette9346,18,2, is this ben shapiro
Instant classic! I actually saw a cam version of this movie early on and it was so funny to watch with the audience! If anyone ever finds one please post here!,@digitaldeerman,54,3,instant classic i actually saw a cam version of this movie early on and it was so funny to watch with the audience if anyone ever finds one please post here
Funniest movie bruh lmao,@MaZeYoutube,4,0,funniest movie bruh lmao
I love this movie and I haven't even seen it yet 😩👌,@danklies9606,3,4,i love this movie and i havent even seen it yet weary_faceOK_hand
2007 trailer posted in 2017 - well played,@iamsanthoshmane,10,2, trailer posted in   well played
The first time I actually laughed while watching a trailer :D,@Vivo-vs2wt,785,6,the first time i actually laughed while watching a trailer d
One of the funniest movies I seen.,@KingoftheJungle97,1604,7,one of the funniest movies i seen
Watch clips from Superbad on the Movieclips channel: https://www.youtube.com/playlist?list=PLZbXA4lyCtqoNh5TN-mNU2qa7fMY7DnwW,@RottenTomatoesCLASSICTRAILERS,111,6,watch clips from superbad on the movieclips channel 
The 1976 Columbia Pictures sunburst logo came back for this movie,@80srocknroller,119,0,the  columbia pictures sunburst logo came back for this movie
"Love this movie, so funny.",@spinazzola5373,4,0,love this movie so funny
