text,author,likes,replyCount,cleaned_text
This world is a prison,@crimsoncrisp8708,4,1,this world is a prison
Hysterical! This video makes me laugh every time I see it! Epic!! 😂❤😂❤,@Momofboys95,0,0,hysterical this video makes me laugh every time i see it epic face_with_tears_of_joyred_heartface_with_tears_of_joyred_heart
They did say he was a disruptor. 😂,@toddarehart1749,0,0,they did say he was a disruptor face_with_tears_of_joy
the Palestinians  could have had a paradise; instead they spent Billions on weapons & terror tunnels....,@joangordoneieio,2,0,the palestinians  could have had a paradise instead they spent billions on weapons  terror tunnels
This is beyond psychotic. ...,@miguelfagan8537,1,0,this is beyond psychotic 
"Whats funny about this, is that Trump made a bluff on this and Egypt, Qatar and the UAE stepped in and handled it. He got Gaza fixed without even spending a cent. Art or the Deal, baby!!",@danahessler2105,0,0,whats funny about this is that trump made a bluff on this and egypt qatar and the uae stepped in and handled it he got gaza fixed without even spending a cent art or the deal baby
Gaza is not in sale!,@AlessandroMAgno-b9m,0,0,gaza is not in sale
0:15 why do the men in drag look like the brothers from opal in sky,@OGpenguinBTW,0,0, why do the men in drag look like the brothers from opal in sky
Time to open your bibles and repent all you non believers are running out of time.,@danielsals5770,2,1,time to open your bibles and repent all you non believers are running out of time
This man is not well,@vinceabruscato2319,2,0,this man is not well
Some one wake me up. Is this even the real world any more?,@ShowtimewithAi,3,0,some one wake me up is this even the real world any more
If Russia posted a video like this about the US Ukraine or Europe would we be laughing?,@krishniarumugam,4,0,if russia posted a video like this about the us ukraine or europe would we be laughing
What is life 😢,@wavhudimuthabine3448,0,0,what is life crying_face
I liked Trump and would've voted for him if I was american but bruh... what is this,@comradehoovy,2,1,i liked trump and wouldve voted for him if i was american but bruh what is this
Hahah. That is so trump,@prestonhanson501,1,0,hahah that is so trump
Thank you Trump! You've made me lose enough brain cells to actually worry about anything anymore!,@Scugzerker,1,0,thank you trump youve made me lose enough brain cells to actually worry about anything anymore
This videos is satire by someone unrelated to trump,@tyscott2420,1,0,this videos is satire by someone unrelated to trump
